                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2548,                 2.7524,                 1.1062,                0.05437,                0.43284,                0.39645,                0.26135,                0.89941,                 3.1186,                0.94147,                0.00024,                0.00024,                0.00024
                      2,                 1.1776,                 1.3536,                 1.0437,                0.00914,                0.98209,                0.51266,                0.29073,                 1.0524,                 3.1492,                0.98292,             0.00049588,             0.00049588,             0.00049588
                      3,                 1.1232,                 1.1438,                 1.0364,                      1,                0.08382,                0.13602,                0.09236,                 1.1981,                 3.4332,                 1.1123,             0.00074746,             0.00074746,             0.00074746
                      4,                  1.113,                 1.0992,                 1.0302,                0.95456,                0.18811,                0.51742,                0.34577,                 1.1158,                 3.0595,                  1.048,             0.00099475,             0.00099475,             0.00099475
                      5,                  1.176,                 1.0994,                 1.0546,                 0.9388,                0.32052,                0.66801,                0.37453,                 1.2805,                 2.7788,                 1.0988,              0.0012378,              0.0012378,              0.0012378
                      6,                 1.1273,                 1.0088,                 1.0275,                0.86978,                0.69784,                0.83909,                0.53852,                 1.1093,                 2.1393,                 1.0432,              0.0014765,              0.0014765,              0.0014765
                      7,                 1.1891,                 1.0306,                  1.055,                 0.7894,                0.69552,                0.78561,                0.47887,                   1.11,                 2.0241,                 1.0219,              0.0017109,              0.0017109,              0.0017109
                      8,                 1.1483,                 1.0148,                 1.0454,                0.65596,                0.67761,                0.69234,                0.44372,                 1.2065,                 1.8025,                 1.0577,              0.0018845,              0.0018845,              0.0018845
                      9,                 1.1374,                0.97464,                 1.0436,                0.60862,                0.82162,                0.74244,                0.48205,                 1.1588,                   1.68,                 1.0766,              0.0018845,              0.0018845,              0.0018845
                     10,                 1.1287,                0.90789,                 1.0405,                0.72358,                 0.8209,                0.83769,                0.53354,                 1.1048,                 1.3578,                 1.0381,               0.001868,               0.001868,               0.001868
                     11,                 1.0936,                0.91322,                 1.0319,                0.68271,                0.87761,                0.77863,                0.51786,                 1.1105,                 1.5548,                  1.057,              0.0018515,              0.0018515,              0.0018515
                     12,                 1.0931,                0.89947,                  1.032,                0.74311,                0.84776,                0.84665,                0.55715,                 1.1269,                 1.4853,                 1.1011,               0.001835,               0.001835,               0.001835
                     13,                 1.1049,                0.86201,                 1.0367,                0.71808,                0.81791,                0.84227,                 0.5158,                 1.1825,                 1.3707,                 1.1402,              0.0018185,              0.0018185,              0.0018185
                     14,                 1.0584,                0.82696,                 1.0104,                0.80419,                0.74627,                0.86576,                 0.5719,                 1.1096,                 1.3461,                  1.111,               0.001802,               0.001802,               0.001802
                     15,                 1.0396,                0.81234,                 1.0208,                 0.8738,                0.72337,                0.88723,                  0.604,                   1.06,                 1.1315,                 1.0457,              0.0017855,              0.0017855,              0.0017855
                     16,                 1.0783,                0.80157,                 1.0381,                0.64305,                0.92836,                0.85211,                0.60734,                0.99376,                 1.0937,                 1.0271,               0.001769,               0.001769,               0.001769
                     17,                 1.0266,                0.75434,                0.99417,                0.68929,                0.80597,                0.84759,                0.61113,                 1.0455,                 1.1081,                 1.0558,              0.0017525,              0.0017525,              0.0017525
                     18,                0.99111,                 0.7116,                 0.9873,                0.65597,                0.92239,                0.86053,                0.62082,                 1.0101,                 1.0323,                 1.0258,               0.001736,               0.001736,               0.001736
                     19,                 1.0534,                0.71005,                 1.0091,                0.63491,                 0.9448,                0.85188,                0.56894,                 1.1073,                  1.091,                 1.0709,              0.0017195,              0.0017195,              0.0017195
                     20,                 1.0064,                   0.71,                 1.0026,                0.68529,                0.81252,                0.79848,                0.55633,                 1.0681,                 1.1556,                 1.0428,               0.001703,               0.001703,               0.001703
                     21,                0.97958,                0.68808,                0.99897,                 0.6168,                0.94176,                0.83416,                0.59191,                 1.0345,                 1.0872,                 1.0399,              0.0016865,              0.0016865,              0.0016865
                     22,                0.97183,                 0.6718,                0.98419,                0.64128,                0.87164,                0.79363,                0.54698,                 1.1166,                 1.0729,                 1.1035,                0.00167,                0.00167,                0.00167
                     23,                0.96992,                0.66624,                0.98757,                0.72222,                0.84776,                0.84395,                0.58405,                 1.0924,                0.98624,                 1.0634,              0.0016535,              0.0016535,              0.0016535
                     24,                0.98605,                0.67352,                0.98566,                 0.6781,                0.84264,                0.80651,                0.57448,                 1.0191,                 1.0473,                 1.0625,               0.001637,               0.001637,               0.001637
                     25,                0.94978,                0.64257,                0.98117,                 0.6521,                0.93433,                0.87351,                0.61415,                 1.0201,                 1.0043,                 1.0338,              0.0016205,              0.0016205,              0.0016205
                     26,                0.93379,                0.63334,                0.97996,                0.63994,                0.91642,                0.79388,                 0.5765,                0.97026,                 1.0466,                 1.0259,               0.001604,               0.001604,               0.001604
                     27,                0.93782,                0.62089,                0.97726,                0.61217,                0.89851,                0.78952,                0.54916,                 1.0477,                 1.1157,                 1.0649,              0.0015875,              0.0015875,              0.0015875
                     28,                0.95563,                0.62157,                0.97362,                0.68453,                0.81613,                0.82476,                0.53892,                 1.1387,                 1.2688,                 1.0983,               0.001571,               0.001571,               0.001571
                     29,                0.92076,                0.62627,                0.97739,                0.60525,                0.94627,                0.84268,                0.59373,                 1.0122,                  1.128,                 1.0405,              0.0015545,              0.0015545,              0.0015545
                     30,                0.90447,                0.60671,                0.95819,                0.62993,                0.95224,                0.80173,                0.56494,                 1.0027,                 1.2697,                 1.0326,               0.001538,               0.001538,               0.001538
                     31,                0.95008,                0.59813,                0.96517,                0.64204,                0.91045,                0.81859,                0.56421,                 1.0326,                 1.2193,                 1.0472,              0.0015215,              0.0015215,              0.0015215
                     32,                0.92696,                0.59008,                0.96944,                0.80101,                0.74627,                0.86204,                0.57776,                 1.0631,                 1.1279,                 1.0693,               0.001505,               0.001505,               0.001505
                     33,                0.95426,                 0.6076,                0.97779,                0.64255,                0.91221,                0.76863,                0.54437,                 1.0346,                 1.0618,                 1.0251,              0.0014885,              0.0014885,              0.0014885
                     34,                0.92768,                0.59578,                0.96703,                0.62089,                 0.9194,                0.76068,                 0.5422,                   1.11,                 1.0117,                 1.0842,               0.001472,               0.001472,               0.001472
                     35,                0.89172,                0.57492,                0.96194,                0.68087,                0.84179,                0.82581,                0.55149,                  1.138,                 1.0032,                 1.0966,              0.0014555,              0.0014555,              0.0014555
                     36,                0.94934,                0.58666,                0.97953,                0.72335,                0.86567,                0.86858,                0.55378,                 1.1326,                 1.0555,                  1.081,               0.001439,               0.001439,               0.001439
                     37,                0.90077,                0.56145,                0.95179,                 0.7602,                0.81791,                0.87828,                0.63225,                0.98353,                 1.0028,                 1.0145,              0.0014225,              0.0014225,              0.0014225
                     38,                 0.9237,                0.56022,                0.96907,                0.69761,                0.84704,                0.84763,                0.62324,                 1.0009,                0.97766,                 1.0032,               0.001406,               0.001406,               0.001406
                     39,                0.85388,                0.54727,                0.95075,                0.65223,                0.86269,                0.73643,                0.52773,                0.93693,                0.97431,                 1.0019,              0.0013895,              0.0013895,              0.0013895
                     40,                0.83545,                0.53928,                0.95412,                0.79185,                 0.7791,                0.87608,                0.63684,                0.92739,                0.97634,                 1.0062,               0.001373,               0.001373,               0.001373
                     41,                0.84442,                0.54585,                 0.9503,                0.69706,                0.84776,                0.85697,                0.62009,                0.93001,                 1.0062,                0.99897,              0.0013565,              0.0013565,              0.0013565
                     42,                0.82852,                0.52958,                 0.9483,                0.77818,                0.77612,                0.86553,                0.64074,                0.92574,                0.98642,                 1.0073,                0.00134,                0.00134,                0.00134
                     43,                0.85155,                0.54296,                0.95089,                0.72607,                0.79403,                0.86076,                0.64271,                0.96706,                0.97253,                 1.0229,              0.0013235,              0.0013235,              0.0013235
                     44,                 0.8815,                0.54441,                0.95082,                0.75004,                0.79719,                0.86569,                0.64011,                0.97292,                0.93822,                 1.0652,               0.001307,               0.001307,               0.001307
                     45,                0.90403,                0.54882,                0.96267,                0.79012,                0.85075,                 0.8827,                0.60405,                 1.0086,                0.98331,                 1.0569,              0.0012905,              0.0012905,              0.0012905
                     46,                0.85782,                0.52769,                0.94485,                0.81632,                 0.7791,                 0.8663,                0.61557,                0.98885,                 1.0861,                 1.0487,               0.001274,               0.001274,               0.001274
                     47,                0.85521,                0.52863,                0.93863,                0.62855,                0.90149,                0.85554,                0.59477,                 1.0748,                 0.9915,                 1.0836,              0.0012575,              0.0012575,              0.0012575
                     48,                0.85828,                0.53523,                0.94836,                0.65756,                0.89994,                0.83292,                0.61017,                 1.0077,                 1.1095,                 1.0639,               0.001241,               0.001241,               0.001241
                     49,                0.87281,                0.54533,                0.95347,                0.73273,                0.85075,                0.87669,                0.61285,                0.96738,                 1.0441,                 1.0365,              0.0012245,              0.0012245,              0.0012245
                     50,                 0.8539,                0.54282,                0.94733,                0.68032,                0.80299,                0.83692,                0.61436,                 0.9089,                 1.2572,                 1.0097,               0.001208,               0.001208,               0.001208
                     51,                0.80706,                0.51919,                0.93069,                0.73568,                0.79104,                0.88391,                0.61839,                0.96317,                 1.0692,                  1.025,              0.0011915,              0.0011915,              0.0011915
                     52,                0.80349,                0.49315,                0.92998,                0.66303,                0.89278,                0.83235,                0.62347,                0.93151,                 1.0322,                 1.0184,               0.001175,               0.001175,               0.001175
                     53,                0.79356,                0.51334,                0.92763,                0.66045,                0.87463,                0.84838,                0.62103,                0.98014,                0.93339,                 1.0279,              0.0011585,              0.0011585,              0.0011585
                     54,                0.79561,                0.50306,                0.94193,                0.63792,                0.90457,                0.85933,                0.64463,                0.95482,                0.85328,                 1.0563,               0.001142,               0.001142,               0.001142
                     55,                0.81997,                0.50697,                0.94934,                0.63486,                0.91863,                0.84874,                0.61622,                 1.0217,                 1.0453,                 1.0858,              0.0011255,              0.0011255,              0.0011255
                     56,                0.82782,                0.50652,                0.93324,                 0.6387,                0.90448,                0.86015,                0.63441,                0.95868,                 1.0571,                 1.0195,               0.001109,               0.001109,               0.001109
                     57,                0.81253,                0.49312,                 0.9409,                0.62829,                0.93731,                0.86687,                0.65141,                0.97338,                0.95549,                 1.0269,              0.0010925,              0.0010925,              0.0010925
                     58,                0.79703,                0.49392,                0.92795,                0.70118,                0.81194,                0.87237,                0.65887,                0.93252,                0.99135,                 1.0059,               0.001076,               0.001076,               0.001076
                     59,                0.78495,                0.49268,                0.92831,                0.66931,                0.86269,                0.85382,                0.64434,                0.96385,                0.94456,                 1.0334,              0.0010595,              0.0010595,              0.0010595
                     60,                0.80779,                 0.4786,                0.92173,                0.64488,                0.88902,                0.85072,                0.63612,                0.95757,                0.99908,                 1.0323,               0.001043,               0.001043,               0.001043
                     61,                0.83581,                0.49566,                0.92504,                0.64272,                 0.9129,                0.85865,                0.63463,                0.98133,                0.99902,                 1.0396,              0.0010265,              0.0010265,              0.0010265
                     62,                0.80844,                0.47675,                0.94116,                 0.6438,                0.92258,                0.85358,                0.59334,                 1.0922,                 1.0066,                 1.1061,                0.00101,                0.00101,                0.00101
                     63,                0.83859,                0.48188,                0.93402,                0.64455,                0.90448,                0.86957,                0.62316,                 1.0064,                0.94269,                  1.063,              0.0009935,              0.0009935,              0.0009935
                     64,                0.81558,                0.48654,                0.92965,                0.63473,                0.90149,                 0.7939,                0.57364,                 1.0486,                 1.0604,                 1.0755,               0.000977,               0.000977,               0.000977
                     65,                0.82033,                0.48843,                0.92538,                0.62493,                0.90746,                0.77318,                0.57396,                 1.0208,                 1.0533,                  1.072,              0.0009605,              0.0009605,              0.0009605
                     66,                 0.7641,                0.45681,                0.92484,                0.63289,                0.91045,                0.81771,                0.56252,                 1.1394,                 1.1444,                 1.0939,               0.000944,               0.000944,               0.000944
                     67,                0.77209,                 0.4646,                0.91571,                0.63157,                0.91595,                0.80145,                0.57126,                 1.0566,                 1.1421,                 1.0771,              0.0009275,              0.0009275,              0.0009275
                     68,                0.76843,                0.47833,                0.92379,                0.63192,                0.90746,                 0.7958,                0.58712,                0.98532,                 1.0402,                  1.053,               0.000911,               0.000911,               0.000911
                     69,                0.77731,                0.46806,                0.92102,                 0.6295,                0.89851,                0.78252,                0.59435,                0.98278,                 1.0319,                 1.0486,              0.0008945,              0.0008945,              0.0008945
                     70,                0.73672,                0.44586,                0.90946,                0.62786,                0.92239,                 0.7498,                0.56754,                0.98152,                 1.0339,                 1.0443,               0.000878,               0.000878,               0.000878
                     71,                0.77031,                0.44631,                0.91319,                0.62062,                 0.9194,                0.78764,                0.59582,                 1.0076,                 1.0145,                 1.0475,              0.0008615,              0.0008615,              0.0008615
                     72,                0.77511,                   0.46,                 0.9145,                0.64398,                0.93134,                0.83665,                 0.6123,                 1.0122,                 1.0652,                  1.041,               0.000845,               0.000845,               0.000845
                     73,                0.71706,                0.43782,                0.90285,                0.64711,                0.93731,                0.81335,                0.60059,                0.94565,                  1.008,                 1.0301,              0.0008285,              0.0008285,              0.0008285
                     74,                 0.7589,                0.44961,                0.92023,                0.62872,                0.92239,                0.80751,                 0.6153,                 0.9411,                0.96569,                 1.0176,               0.000812,               0.000812,               0.000812
                     75,                0.71411,                0.43966,                0.90678,                0.64548,                0.90763,                0.80809,                0.61308,                0.94206,                 1.0131,                  1.008,              0.0007955,              0.0007955,              0.0007955
                     76,                0.73403,                0.43977,                0.91417,                 0.6364,                0.91045,                0.81249,                  0.623,                0.92928,                0.99447,                0.99662,               0.000779,               0.000779,               0.000779
                     77,                0.73196,                0.43794,                 0.9105,                0.63302,                0.91642,                0.81708,                0.62774,                0.95171,                 1.0099,                  1.025,              0.0007625,              0.0007625,              0.0007625
                     78,                0.76844,                0.45426,                0.90455,                0.62723,                 0.9194,                  0.839,                0.63557,                 1.0024,                0.98688,                 1.0637,               0.000746,               0.000746,               0.000746
                     79,                0.73148,                0.43729,                0.91202,                 0.6339,                 0.9194,                0.82516,                0.63352,                0.99179,                 1.0206,                 1.0627,              0.0007295,              0.0007295,              0.0007295
                     80,                0.73909,                0.43654,                0.90339,                0.63094,                0.91642,                0.83351,                0.61945,                 1.0329,                 1.0505,                 1.0943,               0.000713,               0.000713,               0.000713
                     81,                0.75186,                 0.4388,                0.90663,                0.62625,                 0.9194,                0.80145,                 0.6114,                 1.0037,                 1.0745,                  1.064,              0.0006965,              0.0006965,              0.0006965
                     82,                0.71098,                0.42565,                0.89809,                0.62212,                0.91642,                0.81375,                0.61258,                0.99878,                 1.0371,                 1.0679,                0.00068,                0.00068,                0.00068
                     83,                0.69531,                0.41929,                0.90063,                0.62373,                0.92038,                0.82203,                0.61554,                 1.0084,                 1.0355,                 1.0567,              0.0006635,              0.0006635,              0.0006635
                     84,                0.71389,                0.42886,                0.89627,                0.62351,                0.91642,                0.78074,                0.57461,                 1.0788,                 1.0208,                 1.1062,               0.000647,               0.000647,               0.000647
                     85,                 0.6945,                0.42206,                0.90213,                0.63102,                0.91642,                0.84048,                 0.6423,                 1.0148,                0.96601,                 1.0721,              0.0006305,              0.0006305,              0.0006305
                     86,                0.71889,                0.43025,                0.89938,                0.64117,                0.91045,                0.86244,                 0.6609,                0.98243,                0.95173,                 1.0479,               0.000614,               0.000614,               0.000614
                     87,                0.72264,                 0.4299,                0.90174,                0.64432,                0.91642,                0.86265,                0.65233,                0.97455,                0.97253,                 1.0397,              0.0005975,              0.0005975,              0.0005975
                     88,                0.73396,                0.42851,                0.91145,                0.63327,                0.91642,                0.86113,                0.64792,                0.98525,                0.97702,                 1.0434,               0.000581,               0.000581,               0.000581
                     89,                0.69863,                0.41751,                0.90557,                0.63247,                0.91438,                0.86827,                0.64952,                0.96238,                0.96623,                 1.0517,              0.0005645,              0.0005645,              0.0005645
                     90,                0.68932,                0.41385,                0.89109,                0.63276,                 0.9194,                0.86479,                0.64515,                0.96254,                 1.0147,                 1.0553,               0.000548,               0.000548,               0.000548
                     91,                0.69664,                0.41253,                0.89561,                0.63125,                0.92494,                0.87469,                0.64369,                0.95351,                 1.0192,                 1.0539,              0.0005315,              0.0005315,              0.0005315
                     92,                 0.7067,                 0.4116,                0.89803,                0.76551,                0.77015,                0.88102,                0.64036,                0.98641,                 1.0007,                 1.0615,               0.000515,               0.000515,               0.000515
                     93,                0.67389,                0.41194,                0.88673,                0.67348,                0.82388,                0.87488,                0.65842,                0.94273,                0.96081,                 1.0425,              0.0004985,              0.0004985,              0.0004985
                     94,                0.70201,                0.42071,                0.89857,                0.69829,                 0.8209,                0.87897,                 0.6617,                0.96108,                0.91024,                 1.0507,               0.000482,               0.000482,               0.000482
