                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1731,                 2.2459,                 1.1472,                0.74529,                 0.8822,                0.83986,                0.65435,                0.73554,                 2.4829,                0.93513,                0.00024,                0.00024,                0.00024
                      2,                 1.0278,                0.93286,                  1.035,                0.07146,                0.60299,                0.06555,                 0.0427,                 1.0048,                 11.636,                  1.057,             0.00049588,             0.00049588,             0.00049588
                      3,                 1.0412,                0.77104,                 1.0195,                0.59621,                0.53134,                0.56675,                0.34205,                 1.2189,                 3.2035,                 1.2254,             0.00074746,             0.00074746,             0.00074746
                      4,                 1.0221,                0.73965,                 1.0155,                0.60393,                0.44606,                0.43188,                0.28461,                  1.373,                 1.9073,                 1.3572,             0.00099475,             0.00099475,             0.00099475
                      5,                 1.0594,                 0.7223,                 1.0337,                0.66222,                0.75224,                0.74788,                0.51088,                  1.064,                 1.1486,                 1.0787,              0.0012378,              0.0012378,              0.0012378
                      6,                 1.0631,                0.71451,                 1.0331,                0.49584,                0.55224,                0.48063,                0.33746,                 1.2332,                  2.226,                 1.2256,              0.0014765,              0.0014765,              0.0014765
                      7,                 1.1036,                0.68867,                 1.0574,                0.39004,                 0.5791,                 0.5122,                0.33104,                 1.3206,                 2.3544,                 1.2881,              0.0017109,              0.0017109,              0.0017109
                      8,                 1.0807,                0.71664,                 1.0476,                0.64953,                 0.7911,                0.75709,                 0.5274,                 1.1405,                 1.5798,                 1.1311,              0.0018845,              0.0018845,              0.0018845
                      9,                 1.0657,                0.67075,                 1.0427,                0.64609,                0.80651,                0.74339,                0.53556,                 1.0359,                  1.327,                 1.0756,              0.0018845,              0.0018845,              0.0018845
                     10,                 1.0902,                0.67565,                 1.0344,                0.64096,                0.83663,                0.70615,                0.50623,                 1.0791,                 1.3789,                 1.0991,               0.001868,               0.001868,               0.001868
